pred1,pred2,p_val,code,type,q_val,gene
M-CAP (0.051),PolyPhen-2 (0.031),0.293,30740,PCC,0.572808408753648,gigyf1
MPC (-0.009),PolyPhen-2 (0.031),0.627,30740,PCC,0.572808408753648,gigyf1
MVP (0.030),PolyPhen-2 (0.031),0.518,30740,PCC,0.572808408753648,gigyf1
MetaLR (0.007),PolyPhen-2 (0.031),0.631,30740,PCC,0.572808408753648,gigyf1
MetaSVM (0.017),PolyPhen-2 (0.031),0.578,30740,PCC,0.572808408753648,gigyf1
MutPred (0.077),PolyPhen-2 (0.031),0.146,30740,PCC,0.572808408753648,gigyf1
MutationTaster (0.019),PolyPhen-2 (0.031),0.593,30740,PCC,0.572808408753648,gigyf1
PROVEAN (0.055),PolyPhen-2 (0.031),0.245,30740,PCC,0.572808408753648,gigyf1
PolyPhen-2 (0.031),PolyPhen-2 (0.031),1,30740,PCC,0.68255207585131,gigyf1
PrimateAI (0.071),PolyPhen-2 (0.031),0.095,30740,PCC,0.572808408753648,gigyf1
REVEL (0.010),PolyPhen-2 (0.031),0.576,30740,PCC,0.572808408753648,gigyf1
SIFT (0.024),PolyPhen-2 (0.031),0.653,30740,PCC,0.573871037164256,gigyf1
SiPhy (-0.004),PolyPhen-2 (0.031),0.658,30740,PCC,0.573954333431517,gigyf1
VARITY (0.058),PolyPhen-2 (0.031),0.243,30740,PCC,0.572808408753648,gigyf1
CADD (0.022),PrimateAI (0.071),0.867,30740,PCC,0.643814306179241,gigyf1
DANN (0.023),PrimateAI (0.071),0.92,30740,PCC,0.667437990912175,gigyf1
Eigen (0.016),PrimateAI (0.071),0.889,30740,PCC,0.655397438810241,gigyf1
FATHMM (-0.019),PrimateAI (0.071),0.735,30740,PCC,0.596641160456745,gigyf1
GenoCanyon (0.022),PrimateAI (0.071),0.919,30740,PCC,0.6673035720291,gigyf1
LRT (0.012),PrimateAI (0.071),0.932,30740,PCC,0.67435180356193,gigyf1
M-CAP (0.051),PrimateAI (0.071),0.644,30740,PCC,0.572988402070405,gigyf1
MPC (-0.009),PrimateAI (0.071),0.856,30740,PCC,0.639705741162833,gigyf1
MVP (0.030),PrimateAI (0.071),0.877,30740,PCC,0.64888690571447,gigyf1
